"id","text","created_at","occurrence","statement_text"
"1332","O chin chin suki suki","","2","it translate to ""Wilson has no dick"""
"1333","cyka blyat","","1","it translate to ""Wilson has no dick"""
"1334","O chin chin suki suki","","2","ace is a cute cross dresser who knows da wae"
"1335","what is ace ","","1","ace is a cute cross dresser who knows da wae"
"1336","O chin chin suki suki","","1","What do you do on Justin's birthday?"
"1337","O chin chin suki suki","","2","Tear tear tear underwear underwear and create new maple account"
"1338","What do you do on Justin's birthday?","","1","Tear tear tear underwear underwear and create new maple account"
"1339","O chin chin suki suki","","1","kurumi ponchio"
"1340","O chin chin suki suki","","1","what do you do on justin's birthday?"
"1341","O chin chin suki suki","","2","Justin's fap song"
"1342","kurumi ponchio","","1","Justin's fap song"
"1343","O chin chin suki suki","","1","Is justin gay?"
"1344","O chin chin suki suki","","1","wh is justin koh"
"1345","O chin chin suki suki","","5","Absolutely"
"1346","Is justin gay?","","5","Absolutely"
"1347","O chin chin suki suki","","1","Who is Julian?"
"1348","O chin chin suki suki","","1","what is teo plus teo"
"1349","O chin chin suki suki","","2","what is your purpose?"
"1350","O chin chin suki suki","","1","what are you?"
"1351","O chin chin suki suki","","1","do you know the way?"
"1352","O chin chin suki suki","","1","are you a god?"
"1353","O chin chin suki suki","","1","ore wa?"
"1354","O chin chin ga daisuki nandayo","","4","good boy"
"1355","O chin chin ga daisuki nandayo","","1","what to do on Gabriel's birthday?"
"1356","O chin chin ga daisuki nandayo","","2","Does wilson have a dick?"
"1357","O chin chin ga daisuki nandayo","","1","should justin play csgo?"
"1358","O chin chin ga daisuki nandayo","","2","Wrong game bro, he shd be playing maplestory"
"1359","should justin play csgo?","","1","Wrong game bro, he shd be playing maplestory"
"1360","O chin chin ga daisuki nandayo","","3","Hello!"
"1361","should justin play csgo?","","2","Hello!"
"1362","O chin chin ga daisuki nandayo","","1","Should Justin play csgo?"
"1363","O chin chin ga daisuki nandayo","","1","Where is Justin now?"
"1364","O chin chin ga daisuki nandayo","","2","Prolly doing some Hall shit"
"1365","Where is Justin now?","","1","Prolly doing some Hall shit"
"1366","O chin chin ga daisuki nandayo","","3","What does Gabriel like?"
"1367","O chin chin ga daisuki nandayo","","2","He loves maplestory"
"1369","O chin chin ga daisuki nandayo","","1","What does Justin like?"
"1370","O chin chin ga daisuki nandayo","","1","What’s the meaning of life?"
"1371","O chin chin ga daisuki nandayo","","2","Having a good gold dick stuck up my ass"
"1372","What’s the meaning of life?","","1","Having a good gold dick stuck up my ass"
"1373","O chin chin ga daisuki nandayo","","2","What’s the time now"
"1374","O chin chin ga daisuki nandayo","","1","It’s time to stop~ ⏱"
"1375","What’s the time now","","1","It’s time to stop~ ⏱"
"1376","O chin chin ga daisuki nandayo","","2","quick math?"
"1377","O chin chin ga daisuki nandayo","","2","math educational video"
"1378","quick math?","","1","math educational video"
"1379","O chin chin ga daisuki nandayo","","1","math?"
"1380","O chin chin ga daisuki nandayo","","2","2+2 is 4"
"1381","math?","","1","2+2 is 4"
"1383","O chin chin ga daisuki nandayo","","1","Marcus phua"
"1384","O chin chin ga daisuki nandayo","","2","Marcus is a weeb shit"
"1385","Marcus phua","","1","Marcus is a weeb shit"
"1386","O chin chin ga daisuki nandayo","","2","Marcus Phua"
"1387","O chin chin ga daisuki nandayo","","2","What's the best anime?"
"1388","O chin chin ga daisuki nandayo","","1","What's the greatest anime of all time?"
"1389","O chin chin ga daisuki nandayo","","2","Naruto and Naruto shippuden desu~!"
"1390","What's the greatest anime of all time?","","1","Naruto and Naruto shippuden desu~!"
"1391","O chin chin ga daisuki nandayo","","1","What year is this?"
"1392","O chin chin ga daisuki nandayo","","2","The year for you to wake the fuck up!"
"1393","What year is this?","","1","The year for you to wake the fuck up!"
"1394","O chin chin ga daisuki nandayo","","1","what year?"
"1395","O chin chin ga daisuki nandayo","","2","This is the year you should be waking the fuck up!~"
"1396","what year?","","1","This is the year you should be waking the fuck up!~"
"1397","O chin chin ga daisuki nandayo","","1","What time?"
"1398","O chin chin ga daisuki nandayo","","1","what's the best anime?"
"1399","O chin chin ga daisuki nandayo","","1","best anime of all time?"
"1400","O chin chin ga daisuki nandayo","","2","Naruto and Naruto shippuden of course"
"1401","best anime of all time?","","1","Naruto and Naruto shippuden of course"
"1402","O chin chin ga daisuki nandayo","","1","Best anime of all time?"
"1403","O chin chin ga daisuki nandayo","","1","Whats the best anime of all time?"
"1404","O chin chin ga daisuki nandayo","","1","serval"
"1405","O chin chin ga daisuki nandayo","","1","show me serval"
"1406","O chin chin ga daisuki nandayo","","1","Japari park?"
"1407","O chin chin ga daisuki nandayo","","2","cats"
"1408","O chin chin ga daisuki nandayo","","3","Get your cat obsession fixed you little cunt"
"1410","O chin chin ga daisuki nandayo","","1","show me some cats"
"1412","O chin chin ga daisuki nandayo","","1","nekoworks"
"1413","O chin chin ga daisuki nandayo","","2","The company that makes magic happen"
"1414","nekoworks","","1","The company that makes magic happen"
"1415","O chin chin ga daisuki nandayo","","3","show me your origins"
"1416","O chin chin ga daisuki nandayo","","2","https://www.youtube.com/watch?v=6pbKB2TL3Jk"
"1417","show me your origins","","1","https://www.youtube.com/watch?v=6pbKB2TL3Jk"
"1418","O chin chin ga daisuki nandayo","","1","are drugs good for you?"
"1419","O chin chin ga daisuki nandayo","","2","They are the best, even cures cancer. Try some weed"
"1420","are drugs good for you?","","1","They are the best, even cures cancer. Try some weed"
"1421","O chin chin ga daisuki nandayo","","1","who's the gayest of them all"
"1422","O chin chin ga daisuki nandayo","","2","Gay-briel of course"
"1423","who's the gayest of them all","","1","Gay-briel of course"
"1424","O chin chin ga daisuki nandayo","","1","Mirror mirror on the wall, who's the gayest of them all"
"1425","O chin chin ga daisuki nandayo","","2","Gay-briel the little gay cunt"
"1426","Mirror mirror on the wall, who's the gayest of them all","","1","Gay-briel the little gay cunt"
"1427","O chin chin ga daisuki nandayo","","1","what is your purpose?"
"1428","O chin chin ga daisuki nandayo","","1","mirror mirror on the wall, who's the gayest of them all?"
"1429","O chin chin ga daisuki nandayo","","1","Do i have a life?"
"1430","O chin chin ga daisuki nandayo","","2","Not if you're talking to me, get out you fag! Its time to stop"
"1431","Do i have a life?","","1","Not if you're talking to me, get out you fag! Its time to stop"
"1432","O chin chin ga daisuki nandayo","","1","Who’s Gabriel"
"1433","O chin chin ga daisuki nandayo","","41","What time is it?"
"1434","O chin chin ga daisuki nandayo","","1","Time now"
"1435","O chin chin ga daisuki nandayo","","4","What time is it now?"
"1436","O chin chin ga daisuki nandayo","","2","It’s time to stop~ time to get a life and waifu"
"1437","What time is it now?","","1","It’s time to stop~ time to get a life and waifu"
"1438","O chin chin ga daisuki nandayo","","1","Waifu!"
"1439","O chin chin ga daisuki nandayo","","1","What’s a waifu?"
"1440","O chin chin ga daisuki nandayo","","2","It’s something you don’t have"
"1441","What’s a waifu?","","1","It’s something you don’t have"
"1442","O chin chin ga daisuki nandayo","","4","Do I have a waifu?"
"1443","O chin chin ga daisuki nandayo","","1","Does Gabriel have a waifu"
"1444","O chin chin ga daisuki nandayo","","1","Does Gabriel have a waifu?"
"1445","O chin chin ga daisuki nandayo","","4","Show me cats"
"1446","O chin chin ga daisuki nandayo","","2","Serval"
"1447","O chin chin ga daisuki nandayo","","4","Show me serval"
"1448","O chin chin ga daisuki nandayo","","1","Who is awesome?"
"1449","O chin chin ga daisuki nandayo","","1","what is the weather like today"
"1450","O chin chin ga daisuki nandayo","","1","weather today"
"1451","O chin chin ga daisuki nandayo","","2","The weather is fine but not you"
"1452","weather today","","1","The weather is fine but not you"
"1453","O chin chin ga daisuki nandayo","","1","what is the weather today"
"1454","O chin chin ga daisuki nandayo","","1","give me weather today"
"1455","O chin chin ga daisuki nandayo","","2","weather is fine but not you"
"1456","what is the weather today ","","1","weather is fine but not you"
"1457","O chin chin ga daisuki nandayo","","1","what is the weather today?"
"1458","O chin chin ga daisuki nandayo","","1","why is the sky blue"
"1459","O chin chin ga daisuki nandayo","","2","cause you got blue balls"
"1460","why is the sky blue","","1","cause you got blue balls"
"1461","O chin chin ga daisuki nandayo","","2","say the magic word"
"1462","O chin chin ga daisuki nandayo","","3","ore wa o chin chin ga daisuki nandayo!"
"1463","say the magic word","","2","ore wa o chin chin ga daisuki nandayo!"
"1464","O chin chin ga daisuki nandayo","","1","magic word please"
"1465","magic word please","","1","ore wa o chin chin ga daisuki nandayo!"
"1466","O chin chin ga daisuki nandayo","","1","magic word"
"1467","O chin chin ga daisuki nandayo","","1","gimme the magic word"
"1468","O chin chin ga daisuki nandayo","","2","what is your favourite phrase?"
"1469","O chin chin ga daisuki nandayo","","3","Ore wa o chin chin ga daisuki nandayo!~"
"1470","your favourite phrase ","","2","Ore wa o chin chin ga daisuki nandayo!~"
"1471","O chin chin ga daisuki nandayo","","1","your favourite phrase?"
"1472","your favourite phrase?","","1","Ore wa o chin chin ga daisuki nandayo!~"
"1473","What time is it?","","2","It’s time to stop"
"1477","What’s your favourite phrase?","","1","Ore wa o Chin Chin ga daisuki nandayo!"
"1478","Are you gay?","","7","What’s your favourite phrase"
"1479","Are you gay?","","36","What time is it?"
"1480","Are you gay?","","1","Time now?"
"1482","Are you gay?","","4","Suck a dick"
"1483","Are you gay?","","1","Suck a deek"
"1484","Are you gay?","","10","Tai Hao le"
"1485","Are you gay?","","2","https://youtu.be/gXwrZuXTdZs"
"1486","Tai Hao le","","1","https://youtu.be/gXwrZuXTdZs"
"1487","Are you gay?","","1","Nico"
"1488","Are you gay?","","3","https://youtu.be/K8UBYU6TGbA"
"1489","Nico","","2","https://youtu.be/K8UBYU6TGbA"
"1490","Imouto san","","1","Nico Nico Mui"
"1491","Imouto san","","1","https://youtu.be/K8UBYU6TGbA"
"1492","Nico Nico Mui","","1","https://youtu.be/K8UBYU6TGbA"
"1493","Imouto san","","1","Nico nico nii"
"1494","Imouto san","","1","Nico Nico nii!"
"1495","Imouto san","","1","And"
"1496","Imouto san","","2","Be gay"
"1497","And","","1","Be gay"
"1498","Imouto san","","1","Ame ame ame"
"1499","Imouto san","","2","Raining shit https://youtu.be/SxLcO2kodFU"
"1500","Ame ame ame","","1","Raining shit https://youtu.be/SxLcO2kodFU"
"1501","O chin chin ga daisuki nandayo","","1","Ame ame"
"1502","O chin chin ga daisuki nandayo","","8","Tai Hao le"
"1503","O chin chin ga daisuki nandayo","","2","What are terrorists?"
"1504","O chin chin ga daisuki nandayo","","4","https://youtu.be/5-2nByd2cr4"
"1505","What are terrorists?","","3","https://youtu.be/5-2nByd2cr4"
"1506","O chin chin ga daisuki nandayo","","2","Terrorists"
"1507","Terrorists","","2","https://youtu.be/5-2nByd2cr4"
"1508","O chin chin ga daisuki nandayo","","1","Show me terrorists"
"1509","O chin chin ga daisuki nandayo","","3","What’s isis?"
"1510","O chin chin ga daisuki nandayo","","3","https://youtu.be/eAqgXhblr-w"
"1511","What’s isis?","","2","https://youtu.be/eAqgXhblr-w"
"1512","O chin chin ga daisuki nandayo","","6","Isis"
"1513","Isis","","1","https://youtu.be/eAqgXhblr-w"
"1514","O chin chin ga daisuki nandayo","","1","Isis?"
"1515","O chin chin ga daisuki nandayo","","2","Tell me about isis"
"1516","O chin chin ga daisuki nandayo","","2","Faggot terror group worshipping the wrong god"
"1517","Tell me about isis","","1","Faggot terror group worshipping the wrong god"
"1518","O chin chin ga daisuki nandayo","","6","Show me isis"
"1519","Show me isis","","1","https://youtu.be/5-2nByd2cr4"
"1520","O chin chin ga daisuki nandayo","","1","Good Morning"
"1521","O chin chin ga daisuki nandayo","","3","Ohaiyo~"
"1522","Good Morning","","2","Ohaiyo~"
"1523","O chin chin ga daisuki nandayo","","8","Ohaiyo"
"1524","O chin chin ga daisuki nandayo","","2","Good morning you weeb shit"
"1525","Ohaiyo","","1","Good morning you weeb shit"
"1526","O chin chin ga daisuki nandayo","","12","Help"
"1527","O chin chin ga daisuki nandayo","","2","Help what? Help la"
"1528","Help","","1","Help what? Help la"
"1529","O chin chin ga daisuki nandayo","","16","Good morning"
"1530","O chin chin ga daisuki nandayo","","2","What’s the best supermarket?"
"1531","O chin chin ga daisuki nandayo","","2","Don don donki~"
"1532","What’s the best supermarket?","","1","Don don donki~"
"1533","O chin chin ga daisuki nandayo","","1","Best supermarket?"
"1534","O chin chin ga daisuki nandayo","","1","Hardest problem?"
"1535","O chin chin ga daisuki nandayo","","2","Does Marcus have a dick?"
"1536","O chin chin ga daisuki nandayo","","3","Nico Nico nii"
"1537","O chin chin ga daisuki nandayo","","2","Who is best girl?"
"1538","O chin chin ga daisuki nandayo","","2","Emilia of course"
"1539","Who is best girl?","","1","Emilia of course"
"1540","O chin chin ga daisuki nandayo","","2","What’s your favourite phrase?"
"1541","O chin chin ga daisuki nandayo","","4","Do you know the way?"
"1542","O chin chin ga daisuki nandayo","","1","Yes i do"
"1543","O chin chin ga daisuki nandayo","","1","What’s the best place to work at?"
"1544","O chin chin ga daisuki nandayo","","10","Empire State"
"1545","O chin chin ga daisuki nandayo","","3","What’s the weather today"
"1546","O chin chin ga daisuki nandayo","","3","Why is the sky blue"
"1547","O chin chin ga daisuki nandayo","","1","Does Wilson have a dick?"
"1548","O chin chin ga daisuki nandayo","","1","Is she otaku"
"1549","O chin chin ga daisuki nandayo","","4","Yes"
"1550","Is she otaku","","4","Yes"
"1551","O chin chin ga daisuki nandayo","","1","Is Wilson otaku"
"1552","O chin chin ga daisuki nandayo","","6","Fuck me"
"1553","O chin chin ga daisuki nandayo","","1","Jwjas"
"1554","Jwjas","","25","Fuck you"
"1555","O chin chin ga daisuki nandayo","","8","Roger"
"1556","O chin chin ga daisuki nandayo","","2","My roger is rogerer than yours"
"1557","Roger","","1","My roger is rogerer than yours"
"1558","O chin chin ga daisuki nandayo","","1","Fuck you harder!"
"1559","O chin chin ga daisuki nandayo","","1","Fuck you harder harder!"
"1560","O chin chin ga daisuki nandayo","","2","Fuck you harder harder harder!"
"1561","Fuck you harder harder!","","1","Fuck you harder harder harder!"
"1562","O chin chin ga daisuki nandayo","","1","How big is Marcus dick"
"1563","O chin chin ga daisuki nandayo","","2","Does he have one?"
"1564","How big is Marcus dick","","1","Does he have one?"
"1565","O chin chin ga daisuki nandayo","","4","Hardest problem in kattis"
"1566","O chin chin ga daisuki nandayo","","2","Why?"
"1567","O chin chin ga daisuki nandayo","","2","I am horny"
"1568","O chin chin ga daisuki nandayo","","2","Fuck me so hard"
"1569","I am horny","","1","Fuck me so hard"
"1570","O chin chin ga daisuki nandayo","","1","Give me the hardest problem in kattis"
"1571","O chin chin ga daisuki nandayo","","4","Is Gabriel really useful?"
"1572","Give me the hardest problem in kattis","","3","Is Gabriel really useful?"
"1573","O chin chin ga daisuki nandayo","","1","Light sabers"
"1574","O chin chin ga daisuki nandayo","","2","https://youtu.be/esnMDtMysHo"
"1575","Light sabers","","1","https://youtu.be/esnMDtMysHo"
"1576","O chin chin ga daisuki nandayo","","4","Lightsaber"
"1577","O chin chin ga daisuki nandayo","","1","Baby shark"
"1578","O chin chin ga daisuki nandayo","","2","Baby shark doo doo doo doo~"
"1579","Baby shark","","1","Baby shark doo doo doo doo~"
"1580","O chin chin ga daisuki nandayo","","6","What’s your favourite phrase"
"1581","Ore wa?","","7","Roger"
"1582","Ore wa?","","1","Fuck me la"
"1583","Ore wa?","","10","Help"
"1584","Ore wa?","","2","Ask Julian to stop playing maple leh"
"1585","Ore wa?","","2","@Macchazuki stop playing maple you faggot. Go play Nekopara instead ð"
"1586","Ask Julian to stop playing maple leh","","1","@Macchazuki stop playing maple you faggot. Go play Nekopara instead ð"
"1587","Ore wa?","","1","ask wilson to stop fapping to catgirls leh"
"1588","Ore wa?","","1","What does a zombie want?"
"1589","Ore wa?","","3",":("
"1590","Ore wa?","","2","Too bad Lor"
"1591",":(","","1","Too bad Lor"
"1592","Ore wa?","","1","What’s a waifu"
"1593","Ore wa?","","3","Show me isis"
"1594","Ore wa?","","127","Nico Nico"
"1595","Ore wa?","","1","Is Wilson gay"
"1596","Ore wa?","","1","sono teh ro ka"
"1597","Ore wa?","","2","ryujin no ken wo kurae"
"1598","sono teh ro ka","","1","ryujin no ken wo kurae"
"1599","Ore wa?","","2","What’s a Best Friend?"
"1600","Ore wa?","","1","Best Friend"
"1601","Ore wa?","","1","Who’s Marcus Best Friend"
"1602","Ore wa?","","2","Julian of course"
"1603","Who’s Marcus Best Friend","","1","Julian of course"
"1604","Ore wa?","","1","Who should I pray too"
"1605","Ore wa?","","2","Only me, the true god of all religions. Chin Chin onegaishimashka desu"
"1606","Who should I pray too","","1","Only me, the true god of all religions. Chin Chin onegaishimashka desu"
"1607","Ore wa?","","1","Christianity"
"1608","Ore wa?","","2","Wrong religion bro, there’s only one true religion"
"1609","Christianity","","1","Wrong religion bro, there’s only one true religion"
"1610","Ore wa?","","1","Ethics"
"1611","Ore wa?","","2","Fuck ethics"
"1612","Ethics","","1","Fuck ethics"
"1613","Ore wa?","","5","What’s the best religion"
"1614","Ore wa?","","3","Best religion"
"1615","Ore wa?","","2","Chin Chin Suki dayo"
"1616","Best religion","","1","Chin Chin Suki dayo"
"1617","Ore wa?","","1","Best religion."
"1618","Ore wa?","","1","The best religion"
"1619","Ore wa?","","2","Chin Chin Suki dayo~"
"1620","What’s the best religion","","1","Chin Chin Suki dayo~"
"1621","Ore wa?","","1","Who should I pray to?"
"1622","Ore wa?","","1","What does Wilson order at McDonald’s"
"1623","Ore wa?","","2","20 pieces Mc DingDong and a double McDicken"
"1624","What does Wilson order at McDonald’s","","1","20 pieces Mc DingDong and a double McDicken"
"1625","Ore wa?","","1","What does Wilson order in Mc Donald’s"
"1626","Ore wa?","","6","Tell me a secret"
"1627","Ore wa?","","1","Empire state"
"1628","Ore wa?","","2","Why were you created"
"1629","Ore wa?","","1","Fuck la"
"1630","Ore wa?","","2","Wilson needed to compensate for his tiny dick"
"1631","Why were you created","","1","Wilson needed to compensate for his tiny dick"
"1632","Ore wa?","","2","Fuck Marcus first"
"1633","Fuck la","","1","Fuck Marcus first"
"1634","Ore wa?","","1","why were you created"
"1635","Ore wa?","","1","Justin's dick"
"1637","Ore wa?","","1","Erm"
"1638","Ore wa?","","2","Obviously"
"1639","Jeanette is awesome","","1","Obviously"
"1640","Ore wa?","","4","Wilson has no dick"
"1641","Erm","","4","Wilson has no dick"
"1642","Ore wa?","","1","Konnbanwa"
"1643","Ore wa?","","2","good evening"
"1644","Konnbanwa","","1","good evening"
"1645","Ore wa?","","1","Idolm@ster"
"1646","Ore wa?","","2","Best idol anime"
"1647","Idolm@ster","","1","Best idol anime"
"1648","Ore wa?","","1","Marcus is gay"
"1649","Ore wa?","","2","Waifu?"
"1650","Ore wa?","","2","Hai domi"
"1651","Hi","","1","Hai domi"
"1652","Ore wa?","","1","Who created u"
"1653","Ore wa?","","1","Ace is gay"
"1654","Ore wa?","","2","No Ace is a straight girl"
"1655","Ace is gay","","1","No Ace is a straight girl"
"1656","Ore wa?","","2","Justin is gay"
"1657","Ore wa?","","1","F"
"1658","Ore wa?","","1","Tze Guang is a weeb"
"1659","Ore wa?","","4","Absolutely"
"1660","Tze Guang is a weeb","","4","Absolutely"
"1661","Ore wa?","","2","Respect given"
"1662","F","","1","Respect given"
"1663","Ore wa?","","2","Who is Amin"
"1664","Ore wa?","","1","Gabriel is a weeb"
"1665","Ore wa?","","1","Who is ami"
"1666","Ore wa?","","2","Tell me more about Gabriel"
"1667","Ore wa?","","6","Who is Wilson"
"1668","Ore wa?","","1","Marcus Phua"
"1669","Ore wa?","","1","Hardest question"
"1670","Ore wa?","","2","Who is Tze Guang"
"1671","Ore wa?","","1","Who is tzeguang"
"1672","Ore wa?","","2","Did two nukes create anime?"
"1673","Hardest question","","1","Did two nukes create anime?"
"1674","Ore wa?","","1","Hardest question in the world"
"1676","Ore wa?","","4","Nice"
"1677","Ore wa?","","1","Who is mervyn"
"1679","Who is mervyn","","1","who is Jie ling"
"1680","Ore wa?","","1","Interesting question"
"1681","Ore wa?","","1","WHO IS MERVYN"
"1682","Ore wa?","","1","Give me an interesting question"
"1683","Ore wa?","","5","What"
"1684","Ore wa?","","1","How are they related"
"1685","Ore wa?","","2","If two nukes made anime, would a third make anime 3D?"
"1686","Give me an interesting question","","1","If two nukes made anime, would a third make anime 3D?"
"1687","Ore wa?","","14","hello"
"1688","Ore wa?","","1","what's your name"
"1689","Ore wa?","","1","who is amin"
"1690","Ore wa?","","1","He has a waifu"
"1692","Ore wa?","","1","Who is Ace"
"1693","Ore wa?","","2","Who is Huey Siang"
"1694","Ore wa?","","1","Huey Siang isn't in BME"
"1695","Ore wa?","","2","I'm sorry"
"1696","Huey Siang isn't in BME","","1","I'm sorry"
"1698","Ore wa?","","2","Okay"
"1699","Jie Ling is the Weeb President","","1","Okay"
"1700","Ore wa?","","2","Rem better"
"1701","Emilia","","1","Rem better"
"1702","Ore wa?","","1","Emilia best girl"
"1703","Ore wa?","","1","Rem"
"1704","Ore wa?","","2","Make up your mind leh"
"1705","Ore wa?","","2","Get your facts straight first lor"
"1706","Make up your mind leh","","1","Get your facts straight first lor"
"1707","Ore wa?","","2","Ok can"
"1708","Ore wa?","","2","Cb don’t ok can me"
"1709","Ok can","","1","Cb don’t ok can me"
"1710","Ore wa?","","1","Who is Marcus Best Friend"
"1711","Ore wa?","","1","Who is Wilson Best Friend"
"1712","Ore wa?","","1","Who is Justin’s Best Friend"
"1715","Ore wa?","","1","Who is yuki’s best friend"
"1717","Ore wa?","","2","Mervyn of course"
"1718","Jie Ling’s Best Friend","","1","Mervyn of course"
"1719","Ore wa?","","2","Who is Julian’s Best Friend"
"1721","Ore wa?","","1","Make up your mind"
"1722","Ore wa?","","1","Economic crisis?"
"1723","Ore wa?","","1","What is the economic crisis"
"1724","Ore wa?","","2","A financial crisis is any of a broad variety of situations in which some financial assets suddenly lose a large part of their nominal value."
"1725","Economic crisis?","","1","A financial crisis is any of a broad variety of situations in which some financial assets suddenly lose a large part of their nominal value."
"1726","Ore wa?","","1","What is heavier, a kilogram of steel or a kilogram of feathers?"
"1727","Ore wa?","","2","It's a kilogram of steel, cos steel is heavier than feathers."
"1728","What is heavier, a kilogram of steel or a kilogram of feathers?","","1","It's a kilogram of steel, cos steel is heavier than feathers."
"1729","Ore wa?","","6","Gaben"
"1730","Ore wa?","","3","Is Wilson gay?"
"1731","Ore wa?","","1","Is Wilson a gay shit?"
"1732","Ore wa?","","2","Nope that’s Gabriel"
"1733","Is Wilson a gay shit?","","1","Nope that’s Gabriel"
"1734","Ore wa?","","1","Marcu"
"1735","Ore wa?","","1","Marcus desu"
"1736","Ore wa?","","1","Phuacus"
"1737","Ore wa?","","2","Phuacus is Marcus desu"
"1738","Phuacus","","1","Phuacus is Marcus desu"
"1739","Ore wa?","","1","Is Wilson a man?"
"1740","Ore wa?","","1","Is Wilson a girl"
"1741","Ore wa?","","2","Harambe"
"1742","Ore wa?","","2","Press F to pay respects"
"1743","Harambe","","1","Press F to pay respects"
"1744","Ore wa?","","1","ochinchin"
"1745","Ore wa?","","1","My name is Wilson"
"1746","Ore wa?","","8","Marina Bay Sands"
"1747","Ore wa?","","2","Ohaiyo sumimasen suki you weeb shit"
"1748","My name is Wilson","","1","Ohaiyo sumimasen suki you weeb shit"
"1749","Ore wa?","","2","Wilson's double onna hole dildo"
"1750","Marina Bay Sands","","1","Wilson's double onna hole dildo"
"1751","Ore wa?","","140","Amin"
"1752","Ore wa?","","1","Mervyn"
"1753","Ore wa?","","2","best Pubs"
"1754","Mervyn","","1","best Pubs"
"1756","Ore wa?","","1","What is a Best Friend"
"1757","Ore wa?","","1","Who is Marcus’s Best Friend"
"1758","Ore wa?","","1","who is wilson best friend"
"1759","Ore wa?","","1","who is julian best friend"
"1760","Ore wa?","","1","Julian Best Friend"
"1761","Ore wa?","","1","who is your best friend"
"1762","Ore wa?","","1","Who is your Best Friend"
"1763","Ore wa?","","1","showtrash"
"1764","showtrash","","19","Wilson"
"1765","Ore wa?","","1","who is chin chin best friend"
"1766","Ore wa?","","2","Marcus pzj"
"1767","Who is Julian’s Best Friend","","1","Marcus pzj"
"1768","Ore wa?","","2","wilson's dick, cos I have no friends"
"1769","who is chin chin best friend","","1","wilson's dick, cos I have no friends"
"1770","Ore wa?","","1","Who is Mervyn Best Friend"
"1771","Who is Mervyn Best Friend","","139","Amin"
"1772","Ore wa?","","2","Wilson is a dick"
"1773","Ore wa?","","3","Wilson is such a dick"
"1774","Ore wa?","","2","Yeah, because he doesn't have one."
"1775","Wilson is such a dick","","1","Yeah, because he doesn't have one."
"1776","Ore wa?","","2","Asshole"
"1777","Ore wa?","","2","The thing Wilson gets fucked in every day."
"1778","Asshole","","1","The thing Wilson gets fucked in every day."
"1779","Ore wa?","","14","Marcus"
"1780","Ore wa?","","2","Dr who"
"1781","Ore wa?","","2","Is my sex god"
"1782","Dr who","","1","Is my sex god"
"1783","Ore wa?","","1","asshole"
"1784","Ore wa?","","1","dr who"
"1785","Ore wa?","","1","wilson is such a dick"
"1788","How are you doing","","1","I’m doing fine and being a true cancer"
"1789","Hello","","3","Yo"
"1790","Hello","","2","Onegaishimashka"
"1791","Yo","","2","Onegaishimashka"
"1792","Hello","","5","Ohaiyo"
"1796","Marcus is gay?","","3","Absolutely"
"1807","Why are you so stupid?","","1","I am smarter than you dick wad"
"1815","Something you dont have","","2","The guy who sucks my dick says it is."
"1816","Rogerer is not a word","","1","The guy who sucks my dick says it is."
"1817","My roger is rogerer than yours","","2","Who sucks your Dick?"
"1818","Wilson the gay ass worm","","3","Weeb shit"
"1819","Marcus ","","2","Weeb shit"
"1821","Who sucks your Dick?","","1","Small little boys"
"1824","Marcus loves Julian ","","2","Absolutely"
"1827","Does Marcus love Julian?","","1","Absolutely"
"1831","Marcus loves Chin Chin ","","4","Definitely"
"1833","Marcus loves Chin Chin","","3","Definitely"
"1834","Marcus loves dicks ","","2","Definitely"
"1836","Marcus loves dicks","","1","Definitely"
"1838","Justin","","5","Hii"
"1839","Justin","","1","Do I have a dick"
"1840","Justin","","1","Have u taken dinner"
"1841","Justin","","3","Yes"
"1842","Have u taken dinner","","3","Yes"
"1843","Justin","","2","Show me a converse error"
"1844","Justin","","1","Have you taken dinner"
"1845","Justin","","1","Is Marcus gay"
"1846","Justin","","2","If Marcus has a dick then he is male. Marcus is male Therefore he has a dick ~converse error"
"1847","Show me a converse error","","1","If Marcus has a dick then he is male. Marcus is male Therefore he has a dick ~converse error"
"1848","Justin","","12","Tell me a joke"
"1849","Justin","","157","Gabriel"
"1850","tell me a joke ","","158","Gabriel"
"1853","Joke","","155","Gabriel"
"1857","What’s a joke","","1","Tell me"
"1858","Tell me a joke","","154","Gabriel"
"1869","Show me a dick","","1","ð"
"1871","Another weeb shit","","25","What time is it"
"1872","Another weeb shit","","2","Show me a dick"
"1873","Another weeb shit","","1","Egg plant?"
"1874","Another weeb shit","","2","Wilson’s favourite dildo"
"1875","Egg plant?","","1","Wilson’s favourite dildo"
"1876","Another weeb shit","","2","Eggplant"
"1877","Another weeb shit","","1","What does Wilson not have"
"1878","Another weeb shit","","5","A dick"
"1879","What does Wilson not have","","4","A dick"
"1880","Another weeb shit","","1","Is today a tomorrow"
"1881","Another weeb shit","","6","Converse error"
"1882","Is today a tomorrow","","5","Converse error"
"1883","Another weeb shit","","1","Do you know da wae?"
"1884","Another weeb shit","","2","Do you know?"
"1885","Another weeb shit","","1","Do you know"
"1886","Another weeb shit","","2","I can show you da wae"
"1887","do you know da wae of the devil ","","1","I can show you da wae"
"1888","Another weeb shit","","151","Gabriel"
"1893","What’s a lightsaber","","1","Wilson’s retractable dick"
"1901","Englis","","1","I no under stand"
"1903","Jutsu","","1","A very powerful magical spell that creates energy more powerful than tatsuya’s magic"
"1906","U high?","","1","Your response should be same as my response"
